id,name,relation
400977,艾宁,"[计建炳,高增梁,艾宁,于凤文,俞云良,聂勇,孙楠,姬登祥,姚克俭,刘会君,计伟荣,陈启华,姜洪涛,陆向红,杨阿三,项斌,邓东顺,王广全,刘学军,李育敏,肖春,阮慧敏,李肖华,卢美贞,曾淦宁,毛筱媛,刘华彦,周震,董华青,杨振平,潘再法]"
401085,艾青林,"[张立彬,艾青林,谭大鹏,陈教料,应申舜,蔡东海,张洪涛,黄伟锋]"
401124,白琮,"[郑建炜,王万良,白琮]"
401126,白少先,"[白少先,彭旭东,李纪云,孟祥铠,厉淦]"
401243,包士毅,"[娄忆清,包士毅,梁利华,高增梁,陈冰冰,丁振宇,郑三龙,王效贵,金伟娅]"
401322,包燕,[包燕]
401348,鲍官军,"[鲍官军,万跃华,袁巧玲,王成,杨庆华,张立彬,阮健,王志恒,高峰,潘柏松,钱少明,都明宇,占红武,孟彬,李伟,谭大鹏,陈教料,陈强]"
401428,鲍务英,"[周根贵,朱艺华,鲍务英,沈国斐,陈勇,王斐波]"
401481,鲍卫兵,"[鲍卫兵,陈伟杰,朱向军,王洁,冯志林,毛剑飞,郭淑琴,周云水,王荃,刘恺,杜丰,钟德刚,南余荣,鲁聪达]"
401530,鲍雨梅,"[鲍雨梅,梁利华,黄跃进,柴国钟,吴化平,郝伟娜]"
401553,毕娜,"[毕娜,施祺方,陈呈频,兰秀菊]"
401585,毕慧,"[毕慧,黄瑞耀,易继松]"
401589,边林洁,"[边林洁,张美玉,简琤峰,侯向辉,孟婷婷]"
401602,卜庆军,"[卜庆军,孙春晓,古赞歌,欧阳仲健]"
401621,蔡建湖,"[蔡建湖,王丽萍,周根贵,韩毅,林华珍,叶枫,江波]"
401638,蔡彬彬,"[胡慧玲,蔡彬彬]"
401642,蔡东海,"[王扬渝,蔡东海,赵章风,应申舜,艾青林,曾晰,方珠芳,谭大鹏,顾江萍,孙伟明]"
401659,蔡戈坚,[蔡戈坚]
401663,蔡国军,"[蔡国军,金彦]"
401671,蔡杭锋,"[丁建波,蔡杭锋,俞卫华,王薇,倪超美,胡夏夏,胡利勇,孙科峰]"
401733,蔡金法,"[罗雄军,蔡金法,丁宏,何雪华]"
401740,蔡军,"[张建标,蔡军]"
401746,蔡鹏,"[蔡鹏,卢建树,周明华,颜继忠,蔡亦军,钱欣,周瑛,丁成荣]"
401777,蔡萍根,"[鄢波,蔡萍根,陈乃波,徐丹阳,魏高尧,刘玉玲,徐志君,施建青,李珍]"
401801,蔡世波,[蔡世波]
401806,蔡铁峰,"[蔡铁峰,陈祥华,徐欧官,刘勤贤,罗民超,骆崇,潘明]"
401822,蔡伟,"[郑精武,乔梁,蔡伟,周杰,张诚]"
401830,蔡亦军,"[周猛飞,蔡亦军,孙小方,夏陆岳,肖春,蔡鹏]"
401875,蔡志彬,"[蔡志彬,项斌,李郁锦,韩亮,李小年,贾建洪]"
401930,蔡智澄,"[蔡智澄,池晓波]"
401959,曹华珍,"[毛信表,曹华珍,郑国渠,郑华均,姚建华,骆芳,胡军,李波,侯广亚,唐谊平,李吉泉,阮慧敏]"
402009,曹柬,"[曹柬,叶枫,周根贵,徐世浩,方学礼,杨艳,孟志青]"
402053,曹全君,"[王涌,贾立新,曹全君,周晓,楼玲娣,李刚,常丽萍]"
402107,曹李民,"[赵文宏,曹李民]"
402111,曹平,"[方路平,曹平]"
402118,曹祁,"[李婷婷,曹祁,王洁,杜树旺]"
402128,曹小吉,"[曹小吉,叶学敏,宋庆宝,王涌,张国富,丁成荣,余祎]"
402181,曹晓霞,"[倪哲明,曹晓霞]"
402189,曹耀艳,"[李正卫,曹耀艳,袁莹,钱晓峰,赵敏祥]"
402194,曹志奎,"[孙以栋,曹志奎,周健]"
402210,岑亚青,"[徐斌,唐浩东,刘化章,李瑛,岑亚青,韩文锋,李小年,郑遗凡,傅冠平,祝一锋,霍超]"
402223,岑丽君,"[岑丽君,程惠芳]"
402226,岑雪苇,[岑雪苇]
402242,曾淦宁,"[曾淦宁,艾宁,沈江南,阮慧敏,李娟,周勇]"
402283,曾洪波,"[曾洪波,郑建军,杨杨,马成畅,倪彤元]"
402292,曾晰,"[曾晰,谭大鹏,蔡东海]"
402301,查星星,"[查星星,林敏喜]"
402305,柴国钟,"[柴国钟,潘柏松,姚建华,骆芳,孔凡志,姜献峰,吴化平,郝伟娜,鲍雨梅,厉淦,李俊源,梁利华,姜少飞,周见行,姜伟,刘红,蒋兰芳,陈勇,秦宝荣,胡夏夏,裘信国,彭旭东,陈智君,李吉泉,汤洪涛,鲁建厦,鲁聪达,阮健,冯杰,徐斌,卢奂采,李春晓]"
402392,陈赵扬,"[陈赵扬,朱英红,赵峰鸣,徐颖华,童少平,施梅勤,毛信表,褚有群,张群莉,姚建华]"
402475,常丽萍,"[郭淑琴,常丽萍,李刚,李胜,何熊熊,曹全君,覃亚丽,任宏亮,徐红,周守利]"
402538,常雪梅,[常雪梅]
402549,陈爱民,"[胡军,陈爱民,王力耕,潘再法,倪哲明,夏盛杰,俞卫华]"
402576,陈蓓,"[陈蓓,史黎青]"
402587,陈蓓,[]
402588,陈滨,"[吴哲夫,覃亚丽,陈滨,王东,李娟,夏颖翀]"
402596,陈冰冰,"[郑三龙,高增梁,陈冰冰,孙伟明,金伟娅,丁振宇,张玮,钱欣,金杨福,包士毅,何兴,卢志明,王效贵]"
402663,陈博,[]
402702,陈晨,"[陈晨,马晓雁]"
402707,陈呈频,"[陈呈频,郑华均,王雷,周晓东,张榄,厉淦,郑春晔,潘柏松,许紫岳,何兴,施祺方,毕娜,兰秀菊,鲁建厦]"
402753,陈冲,"[陈冲,李鸿浩,钱逸昀,郭琛晖,孙航,楼玲娣,彭远方]"
402793,陈春虎,"[陈春虎,朱旭红]"
402809,陈春根,"[陈春根,卢邦贵,郭东杰,吴向明,余红娜,胡晨光,程惠芳]"
402843,陈春军,[陈春军]
402847,陈丹,"[陈丹,李国华,胡仙超]"
402857,陈丹英,"[陈丹英,徐玉红]"
402865,陈德富,"[何通能,陈德富,覃亚丽]"
402886,陈德生,"[陈德生,诸森儿]"
402899,陈东之,"[陈建孟,陈东之,汪钊,陈效,钟卫鸿,成卓韦,章银军,於建明,戴启洲]"
402962,陈多长,"[陈多长,虞晓芬,王红玲]"
402999,陈芳,"[李鸿浩,陈芳]"
403002,陈芳,[]
403003,陈枫,"[陈枫,钟明强,杨晋涛,施燕琴,费正东,徐立新,王磊,宁文生,周密,钱欣,孙莉]"
403488,陈锋,"[陈锋,蒋惠琴,苗阳,施祺方,樊靓]"
403496,陈刚,"[陈刚,张立彬,杨庆华,阮健,都明宇]"
403526,陈根宝,"[李美群,陈根宝,胡立央,许天雷]"
403534,陈国达,[陈国达]
403561,陈国定,"[俞立,陈国定,杨马英,南余荣,张美玉,邵奇可,杨东勇,陈朋,周文委,李敏,张贵军,何德峰]"
403635,陈国海,"[何作井,陈国海]"
403659,陈国营,"[陈国营,宋国琴,孙捷,王河江,何晓柯,肖娟]"
403687,陈海英,"[陈海英,竺炯林,沈建伟]"
403692,陈皓,"[陈皓,朱李楠,陶鹏]"
403697,陈红英,"[陈红英,刘俊萍,王红宇,马晓雁,陈石平,应四爱,丁春生]"
403740,陈宏,[陈宏]
403743,陈建孟,"[陈建孟,陈东之,王家德,於建明,戴启洲,何志桥,钟卫鸿,邱乐泉,陈效,吴成强,宋爽,姜理英,蒋轶锋,成卓韦,吴石金,黄新文,钱海丰,赵雷,胡俊,王红宇,金漫彤,钟莉,沈宏,王军良]"
404113,陈建澍,"[应国清,易喻,王鸿,梅建凤,陈建澍,钱捷,李敏,杨胜利,欧志敏]"
404201,陈教料,"[张立彬,谭大鹏,陈教料,鲍官军,艾青林,占红武]"
404225,陈剑利,"[周明华,陈剑利]"
404241,陈江,"[刘会君,陈江]"
404245,陈娇娥,"[何畅,陈娇娥]"
404279,陈杰,"[徐吉洪,陈杰,刘彦朝,周杰,李鸿浩,肖阳,李昌祖,郑春晔]"
404293,陈金媛,"[陈金媛,黄立维,许炉生,赵美蓉,吕伯昇,王家德]"
404309,陈洁,[陈洁]
404311,陈洁群,"[陈洁群,田密蜜]"
404319,陈捷,"[金尧,陈捷,董青]"
404324,陈金友,"[陈金友,倪智明]"
404412,陈晋音,"[杨东勇,陈晋音,毛国红,卢瑾,郑雅羽,张健,周晓]"
404455,陈晶晶,"[陈晶晶,罗永彬,王河江,方喆,董勇,朱国清,黄亚平]"
404481,陈利,"[沈江南,阮慧敏,计伟荣,陈利,林龙]"
404489,陈伦华,"[陈伦华,孙小权,刘春艳,莫生红]"
404541,陈景明,"[陈景明,王醒宇,佘静涛]"
404547,陈婧,"[楼群英,陈婧]"
404552,陈久军,"[高飞,陈久军,张元鸣,徐俊,陈勇]"
404581,陈侃翔,"[陈侃翔,许伟通]"
404585,陈琍,"[姚建华,陈琍,周晓,单晓杭,郑华均,张群莉,徐斌,潘柏松,鲁建厦,王成,陈勇,秦春节]"
404605,陈理娜,[陈理娜]
404609,陈鲤江,"[郑水泉,虞凤英,陈鲤江]"
404617,陈立军,"[陈立军,武宏科,沈海民,刘秋平]"
404674,陈利强,[陈利强]
404695,陈玲洪,"[潘旭武,陈玲洪,王欣]"
404700,陈敏智,"[杨东勇,陈敏智,丁维龙,程志君,杨良怀,龚卫华,朱艺华]"
404717,陈梦然,"[方江英,陈梦然]"
404731,陈明军,"[陈明军,黄飞腾,翁国庆,张有兵,胡轶,何通能]"
404758,陈明阳,"[陈明阳,邵芳,楼荷英,沈瑛,葛俊丽,王吉民,郎晓黎]"
404780,陈乃波,"[鄢波,陈乃波,蔡萍根,魏高尧]"
404795,陈朋,"[陈朋,杨东勇,陈国定,郑雅羽,俞立]"
404809,陈琦,"[陈琦,王晓东]"
404842,陈平,"[聂勇,卢美贞,计建炳,邓东顺,陈平,于凤文,祝铃钰,贠军贤,姚克俭,章渊昶,张颂红,李育敏,朱菊香,俞云良,李肖华]"
404863,陈启华,"[陈启华,潘翔,刘志,艾宁]"
404872,陈前虎,"[陈前虎,周骏,黄初冬,应四爱,张善峰,陈惟]"
404930,陈强,"[李敏,陈强,马建平,孙明轩,何熊熊,南余荣,吴根忠,金燕,邢科新,杨庆华,鲍官军,嘉晓勤,杨扬]"
404977,陈庆悟,"[陈庆悟,翁建全,谭成侠,刘会君]"
404989,陈仁涛,"[陈仁涛,罗许成,张涛,刘彦朝]"
405009,陈权,"[何星舟,陈权,童霞芳]"
405044,陈嵘,[陈嵘]
405047,陈蓉蓉,"[姚裕萍,王炳忠,陈蓉蓉,陈晓倩,陈幼君,朱李楠]"
405054,陈瑞生,"[陈瑞生,单玉川,周晓悦,恽波,朱卫新,应义淼]"
405059,陈善民,"[陈善民,张新军]"
405066,陈胜勇,"[陈胜勇,管秋,徐新黎,王万良,杨旭华,张立彬,刘盛,王波,姚信威,潘翔]"
405279,陈石平,"[陈石平,陈红英]"
405300,陈思,"[王旭,陈思,徐建明,王晓东,施燕琴]"
405396,陈铁军,"[陈铁军,夏建胜]"
